30.32141, (2025, 6, 27, 4, 17, 43, 21, 0), 
29.85327, (2025, 6, 27, 4, 17, 47, 46, 0), 
30.32141, (2025, 6, 27, 4, 17, 48, 1, 0), 
26.10811, (2025, 6, 30, 0, 9, 10, 14, 0), 
27.51254, (2025, 6, 30, 0, 9, 19, 39, 0), 
28.91698, (2025, 6, 30, 0, 9, 25, 33, 0), 
30.32141, (2025, 6, 30, 0, 9, 25, 48, 0), 
29.38512, (2025, 6, 30, 0, 9, 26, 3, 0), 
30.32141, (2025, 6, 30, 0, 9, 26, 18, 0), 
29.85327, (2025, 6, 30, 0, 9, 26, 33, 0), 
30.32141, (2025, 6, 30, 0, 9, 26, 48, 0), 
29.85327, (2025, 6, 30, 0, 9, 27, 3, 0), 
29.85327, (2025, 6, 30, 0, 9, 27, 18, 0), 
29.85327, (2025, 6, 30, 0, 9, 27, 21, 0), 
29.85327, (2025, 6, 30, 0, 9, 27, 36, 0), 
27.98069, (2025, 6, 30, 0, 9, 53, 55, 0), 
30.78955, (2025, 6, 30, 0, 9, 55, 17, 0), 
28.44883, (2025, 6, 30, 0, 10, 4, 57, 0), 
29.85327, (2025, 6, 30, 0, 10, 10, 34, 0), 
30.32141, (2025, 6, 30, 0, 15, 38, 22, 0), 
27.98069, (2025, 7, 4, 4, 16, 57, 8, 0), 
27.51254, (2025, 7, 4, 4, 16, 58, 8, 0), 
